,Title,Publised_date,Views,Likes,Comments
368,Machine Learning   Deep Learning Applications   Live,2019-05-12,11629,500,7
369,Saturday Live,2019-05-11,4546,281,24
370,  5 Django tutorials   Django Template Language   DTL,2019-05-11,234524,2765,365
371,  4 Django tutorials   First App Django - part 2,2019-05-09,321460,2945,556
372,Kotlin vs Java for Android Developers,2019-05-09,28290,992,60
373,  3 Django tutorials   First App in Django - part 1,2019-05-08,511897,4879,528
374,Java Tutorial for Beginners   Full Course,2019-05-05,3919055,64810,1887
375,Ask Anything   Saturday Live,2019-05-04,4515,344,35
376,How Netflix uses Python?   Power of Python,2019-05-04,21737,834,55
377,  2 Django tutorials   Setup,2019-05-02,586683,7878,597
378,  1 Django tutorials   What is Django?   Python Web Framework,2019-04-27,834375,11210,378
379,500k   Quality Matters Not Quantity,2019-04-26,3705,224,25
380,Screen Recording Softwares,2019-04-20,12908,372,36
381,JavaScript Tutorial for Beginners   Full Course,2019-04-17,362647,7709,260
382,Python for Beginners   Full Course,2019-04-07,1458931,29507,891
383,Smart Contract with Web Front End Part 2 Blockchain,2019-04-06,29528,532,127
384,Smart Contract with Front End   Blockchain,2019-04-06,84166,1595,158
385,First Smart Contract part 3   RinkeBy   Ethereum   Blockchain,2019-04-06,29925,419,32
386,First Smart Contract part 2   Remix   Ethereum   Blockchain,2019-04-03,44751,485,39
387,First Smart Contract part 1   Metamask setup   Blockchain   Ethereum,2019-04-01,65762,1049,63
388,Microphone for Recording Lectures,2019-03-31,26255,392,29
389,Best Camera for Recording Educational Videos,2019-03-29,60057,818,56
390,How to make an Educational Video?,2019-03-27,18093,458,59
391,  62 Python Tutorial for Beginners   Generators,2019-03-25,215351,3909,122
392,What is Hyperledger?,2019-03-23,39378,971,49
393,  61 Python Tutorial for Beginners   Iterator,2019-03-22,259409,4015,254
394,Drawbacks of Blockchain,2019-03-20,52894,1576,93
395,How to get a IT Job as a Fresher?,2019-03-18,437696,14363,520
